omega,alpha,beta
0.22614797772548553,0.14830610436418662,0.595209328408654
0.24391085302879678,0.14825760275711608,0.6075565315807058
0.24108194125932236,0.14850885678946613,0.606280576263744
0.22599933225281776,0.14205216995012934,0.6034369393282815
0.23001643381145218,0.14150775295124393,0.6057092543014082
0.23557352630183087,0.14462584891502694,0.6143112048271059
0.24404776685079246,0.15299951813779908,0.5930655253651895
0.23965331324238245,0.1494028562159326,0.5996892003345489
0.2263774658496217,0.1546426421437841,0.5902717915907125
0.24594117909955057,0.14752982610362547,0.5927614045566936
0.25638378369564513,0.1605735360143611,0.5656132023791808
0.253807764752354,0.1637954959876257,0.57253508537359
0.2648525085001689,0.1735306879061325,0.5481383232640131
0.27715525127883733,0.17096483258968076,0.5467552214587905
0.26364955077856683,0.17071445334808516,0.5334181076636596
0.25272280703549105,0.1976398239691478,0.5401108588857668
0.2690749785994151,0.18789348612437268,0.5448088251732882
0.24343123255085705,0.16757719344808336,0.5808142884342472
0.2515539465894608,0.1604219107712916,0.5713173016832775
0.25222552707490903,0.1536432668062045,0.5691329817986639
0.24374768580652198,0.1546500752822473,0.5958308081149835
0.2364407180878462,0.15420281380275486,0.592778151887145
0.22466107680549727,0.1493546092773092,0.6024117199597391
0.2306131588510224,0.14522284434468055,0.5950021741944423
0.21917070696020832,0.17915445735844954,0.5821236390934378
0.22781668873195943,0.19036922799888145,0.5764646929463858
0.21911383524698397,0.17857040870325233,0.5865864486334713
0.22600947341415384,0.16247080091148397,0.6021988027230759
0.2197846680431405,0.16853897938797346,0.6004581603202529
0.23349981205461606,0.15727462674599005,0.5857557646529828
0.25259261406093625,0.1516509827100717,0.5582952692310936
0.2764425149008556,0.15782116123145254,0.5599770471163259
0.28256537571077334,0.1544135799398607,0.5502193055451514
0.2800614027605356,0.1541142780948857,0.5416340911868758
0.29000368311854025,0.164122455242636,0.5271523556218205
0.27811621822058,0.17748434807361468,0.5357122504497054
0.29929422836446584,0.1687398079005539,0.5347163568975319
0.2816625175127916,0.1530057191431566,0.5266137242509367
0.29721044508968364,0.15876525998838828,0.5051529654819246
0.3177181057701248,0.17581845352822878,0.48836504189241775
0.3321467043393518,0.168028901734478,0.4865271480388111
0.30044845133397136,0.16868575258215016,0.49902322158586176
0.3072427600476302,0.17051393978818305,0.509425184850926
0.2958752793430653,0.17283716573354657,0.5024557463855839
0.2843690283259631,0.1887406288172737,0.4974729609655249
0.29713000830084985,0.190784645167224,0.49920730704068245
0.31219156241490253,0.17586075533918444,0.5027091407988994
0.3200592391701406,0.18450584094484196,0.48562319139058047
0.3041724331054301,0.20111825165233083,0.49624829859492736
0.29130956303362293,0.20057775725917812,0.506048297506437
0.2845027189317042,0.1916399738918984,0.5035396553569578
0.27319432320795073,0.20541949173619686,0.513965878573788
0.28343856769640996,0.1933592975285119,0.5215247990324263
0.2860422270895691,0.18273721831334935,0.5292826200217456
0.27085973202540486,0.18845584784572833,0.5356912294716263
0.2531107039685434,0.19423505489476384,0.552003881090755
0.2612532514637436,0.2063513502474631,0.543384544819281
0.2774345907973508,0.20460688867516838,0.5262037756805599
0.28674055322307385,0.19498709031388184,0.5060425895769707
0.3037488756115046,0.1815932851500584,0.498104065237653
0.3033765626846382,0.17375277959116286,0.5006550808817637
0.31916176949788255,0.17363226398047296,0.5106502376584464
0.3211460022542911,0.16187851716553356,0.5010941612552248
0.3243077832678288,0.15873456333598848,0.4901765016095684
0.3305343598867589,0.15635353401304009,0.5039980987542468
0.3268089741238096,0.16343421292781257,0.49782942622426024
0.30262934524039603,0.16192077532886942,0.5018709613875422
0.28637538921039496,0.1858564163789388,0.5250714871600815
0.26776037600645375,0.191192163835325,0.5153524399164279
0.2614430280113503,0.2021716043940983,0.5182034309154608
0.2593006574302428,0.19223979361321272,0.5337906511700408
0.2672271689750943,0.1937554493103521,0.5256025939558386
0.2751079240496099,0.18244951388363043,0.5154808790533085
0.2747233781726163,0.17579644005136477,0.5242905663325912
0.27312398215299716,0.1910372875867826,0.5321724571707696
0.27330032400063975,0.1911023399357334,0.5245966661181033
0.2750841262169757,0.18150884102226303,0.517516440712201
0.2558396736216577,0.19839940540869533,0.5265028162413941
0.27315885057629347,0.19673583254592727,0.5357406978191176
0.2928381792987207,0.18900479079382734,0.5226918514182716
0.29726544028717056,0.17221094333447623,0.5316236723880723
0.2870396326423387,0.17453213624917197,0.5424073682134382
0.29945641185884614,0.1566271033212054,0.5358977574882606
0.2941764153776358,0.15268865384298783,0.5274850114374585
0.296201475118176,0.14750296823236425,0.5459152538002164
0.2780465552130418,0.14408402164542194,0.5507313112394817
