omega,alpha,beta
0.31575882351535367,0.18666158776592234,0.47843136968365635
0.3166290047621097,0.18526656662685886,0.47791620188908
0.3182713062730233,0.18428851744417493,0.4780113370417614
0.31862846256297606,0.1857038993792853,0.47711438907639103
0.31861432261033446,0.18574114218510543,0.4770701747500999
0.31850635896932206,0.18681681968484506,0.47643221332280505
0.3188145617958991,0.18834471860332203,0.47667633552370886
0.3179803011097394,0.19096229733282213,0.4768431272853585
0.3156343756128129,0.18924041671447445,0.47640741501250655
0.3169193056455347,0.18935382073058382,0.477110531122906
0.31804809249491656,0.18913251866543862,0.47742767753040954
0.31721871167774784,0.18831405571903145,0.47705277358178916
0.3175383365237229,0.18886017509043657,0.47640610989475274
0.3172295372115909,0.18839960803560213,0.4754574711976336
0.317496660793454,0.18978904788478296,0.4759701648210029
0.3172477888200457,0.1885073775925229,0.47654932292677765
0.3170534032448647,0.18866310255902483,0.4763317720551706
0.3162569405788399,0.18820346619647133,0.47836705295002163
0.31596962868863127,0.18826111467298562,0.47887000325042267
0.31567318847433856,0.18924442085318793,0.478880821054311
0.3165406606038438,0.19008941020612571,0.47769617752539884
0.3178582152532837,0.18974338875980284,0.478657591131902
0.31824080550174505,0.19022079437518497,0.47677627740759543
0.3178618229936438,0.1890584589704817,0.4764831978904042
0.31611252684048824,0.19003942816944455,0.4774839255912881
0.3157753291782067,0.1892092800140061,0.478438645395507
0.3141621935845764,0.1884038374094305,0.4786233639120085
0.313869917567299,0.18954166912406348,0.477160690276404
0.31494946855877554,0.18786518993327814,0.47683801039952706
0.3136722604444299,0.18751256832653532,0.479158095833412
0.31270233310089,0.18698940612070386,0.4788653493914149
0.313974337011597,0.1864901085664479,0.47908430034169996
0.31532402865233466,0.18601682661250019,0.47997578444586364
0.3159268584556369,0.18576952921806522,0.4798391573122007
0.31648345482188706,0.18459159025031727,0.4814732314708273
0.31721449187655737,0.1869446664105475,0.4814222650302432
0.3180137305950803,0.18873071732757887,0.47957098733485454
0.31782932240793593,0.18746349839187143,0.48039002943073
0.3176055113725753,0.18789213176578975,0.48105416416832425
0.3176188213173898,0.18794740366008916,0.4800628676907975
0.31760952870484693,0.1865404327351699,0.47885954872293723
0.3192110974249081,0.18518194488819434,0.47918961973046104
0.3194710517846792,0.1848011862469238,0.4773083953199203
0.3214225930529246,0.18473738494995223,0.4764337055610036
0.32331556158641395,0.18588436365081812,0.4765772578716979
0.3220144815046199,0.18467433554531307,0.4753427385775684
0.32259186628854614,0.1840639754906951,0.4755749515397691
0.32338715520888656,0.1840140657350742,0.47513266946762023
0.32297226526037925,0.1836056227672352,0.4759079382523905
0.3218603900619548,0.18314274304785258,0.4755059146904393
0.32246661171925095,0.1835269108641432,0.4752688320282068
0.3219928614841791,0.18441481298121254,0.475082704114893
0.32208728061554953,0.18541796642207223,0.4755241627243206
0.3229982037859778,0.186512816779695,0.47544826872759566
0.3226191436806661,0.18606233268262373,0.47705977101995445
0.3220660124293079,0.1851514478210909,0.47811288651946837
0.32035505640189277,0.18593916862641102,0.47869070094521854
0.3192669231159435,0.18562014121016573,0.47881703553837895
0.31745642240164096,0.1858085345719687,0.4793270623869917
0.31809502719425825,0.185360422761018,0.4783784047072841
0.3178423284338784,0.1885252117179435,0.4793398085981824
0.31697579423126326,0.1889358533402809,0.47832031165581484
0.31654449261728884,0.18775691713419815,0.47834184793929
0.31570144704485115,0.18897989409648946,0.47819509304263597
0.3144209517518137,0.188155843426743,0.47670386967521894
0.3146979540422504,0.18699467939992578,0.47622497771976763
0.3154371822593435,0.1872110898693397,0.4756222529449555
0.31537749883168753,0.18690364879701757,0.4760464695261274
0.31494866918174325,0.1883663371656099,0.4752265111335427
0.31333484995143585,0.1884912362856398,0.4744905797765838
0.3136611491011042,0.18843563410614908,0.47459111984656777
