omega,alpha,beta
0.2867953973821959,0.1967730390567507,0.507853424099315
0.287374156636726,0.18274100757757816,0.5209776694470767
0.2977108508679088,0.1606309512492911,0.529694168187052
0.2909885140265573,0.17105169628815384,0.5246416260334772
0.2977808514379363,0.16847209937545454,0.5160506599475452
0.3070067420670683,0.19134192677340575,0.5112673015299947
0.28054833229772463,0.2034540560498012,0.5122472165520077
0.2741280749729022,0.18966170906235158,0.5340317137799965
0.25208375785265535,0.19851452220765753,0.5513711009929803
0.24680148151603093,0.19410567718011582,0.5533874315943919
0.24804418930879538,0.1885141634166559,0.5544168520325427
0.251861436201482,0.1878919353839781,0.5550045554846658
0.24327161478524006,0.16187062525287046,0.5721342459029266
0.23114125363884264,0.18591510919213666,0.5771400172287818
0.2565465782602858,0.1708063601392274,0.5737891115450715
0.25990077283471963,0.15564866697805024,0.5634193002567963
0.25809400663603993,0.1651161405979118,0.5665824184403123
0.26055054558082086,0.16590165433019766,0.5652752671587125
0.2620063988726513,0.17155601310940957,0.5580087502629062
0.23749669942750812,0.1700333855063803,0.574360081108644
0.25369265817569325,0.19126118842854045,0.5599382822664775
0.2783851737451119,0.193136869859498,0.5342564416004144
0.2679721053119586,0.17213477477341305,0.5308509778295496
0.27906790785349267,0.15784855802510522,0.539809097843636
0.27533624088425646,0.16845076725353134,0.53075317590918
0.28200939314716794,0.17173928251387152,0.5338878194460429
0.26345662206278186,0.16160102700364143,0.5401905989151605
0.25899068457192814,0.14491073341329702,0.5525282706977731
0.25837211328310633,0.1470059446909989,0.5550435516004494
0.27365013843511915,0.1542003453533156,0.5716791204447715
0.2687161096280324,0.14464609150510035,0.5694577116035174
0.25918341931595995,0.15943256384294324,0.554725539067868
0.28263013224641154,0.15989667907708027,0.5522251679579206
0.2797277653563976,0.17748179620810994,0.5450513136938918
0.29534710856682606,0.17297805359297058,0.5331520835946093
0.3073280402038586,0.15134873558449127,0.5256926662629616
0.31426522150613045,0.1750216016762038,0.508488995469888
0.3038748201623644,0.16064085292199648,0.5015383220652823
0.3001741266179758,0.179503001131895,0.5299722471902342
0.30630947380033074,0.17265950628932267,0.4939672386915614
